original_english	augmented_spanglish	original_spanish
The building is employing its own duty-of-care protocol utilizing products that support the safety of their tenants.	los edificio is emplear su propia duty-of-care protocolo utilizing productos eso apoyo las seguridad of sus tenants.	El edificio ha adoptado su propio protocolo de deber de cuidado, usando productos que respaldan la seguridad de sus ocupantes.
We feel comfortable that the office will be well-prepared for when we decide to return.	We feel comfortable that the office will be well-prepared for when we decide to return.	Nos sentimos confiados de que la oficina estará bien preparada para cuando decidamos volver.
Our DC office is located in a WeWork, which has shared its COVID-19 protocol with us and all DC-based staff members.	Our DC office is located in a WeWork, which has shared its COVID-19 protocol with us and all DC-based staff members.	Nuestra oficina en DC se encuentra en un WeWork, que ha compartido su protocolo para COVID-19 con nosotros y todos los miembros del personal en las oficinas de DC.
As of last week, our DC office moved to a fully remote setup in line with the guidance shared with San Francisco.	As of última week, nuestro DC oficina trasladado to a totalmente remotas configurar in line con los orientaciones compartido con san Francisco.	Desde la semana pasada, nuestra oficina de DC trasladó sus operaciones a un entorno completamente remoto de conformidad con las pautas compartidas con San Francisco.
As some of our NYC-based colleagues know, we have also been in discussion about leasing a location in Brooklyn.	As algunos of nuestras NYC-based compañeros know, we tengan también sido in discusiones sobre leasing a emplazamiento in Brooklyn.	Como ya saben algunos de nuestros compañeros de la ciudad de Nueva York, también hemos hablado sobre alquilar un lugar en Brooklyn.
These discussions are continuing but may be delayed.	éstas discusiones are continuar sino may be delayed.	Estas discusiones siguen en curso pero es posible que se demoren.
Some of our colleagues are working remotely for the first time.	algunos of nuestro compañeros are trabajando remotamente para el primeras time.	Algunos de nuestros compañeros trabajan de manera remota por primera vez.
Our long-time remote colleagues know that it can be an adjustment, and wanted to offer you some advice:	nuestra long-time remoto colegas conozca eso it puede be an adjustment, y buscado to oferta te algunas advice:	Nuestros compañeros que ya trabajaban en forma remota desde antes saben que esta modalidad requiere una adaptación, por lo que brindan las siguientes sugerencias:
Limit the length of meetings to at most one or two hour increments.	límite los eslora of encuentros to at most uno or dos hora increments.	Limite la duración de las reuniones a intervalos de una o dos horas como máximo.
If longer sessions are required, consider how they can be broken up over the course of several days.	If longer sesiones son required, consideren cómo ellas puede be rotos up over la rumbo of varias days.	Si se requieren sesiones más prolongadas, considere la manera de seccionarlas en el transcurso de varios días.
Clearly define the meeting, have an agenda, and send reading materials in advance.	claramente definir la meeting, han an agenda, y mandar reading material in advance.	Defina claramente la reunión con una lista de temas y envíe los materiales de lectura con anticipación.
Make video the default, with tools like Google Docs and Zoom to facilitate live collaboration and connection.	hacer vídeo las default, con herramientas like google Docs y zoom to facilite viva colaboración y connection.	Adopte el uso del video de manera predeterminada, usando herramientas como Google Docs y Zoom para facilitar la colaboración y la conexión en vivo.
Have a lead to facilitate every meeting, someone to monitor the chat for questions and track the speaker list, and someone to help take notes (or do collaborative note-taking).	Have a lead to facilitate every meeting, someone to monitor the chat for questions and track the speaker list, and someone to help take notes (or do collaborative note-taking).	Designe un líder para que modere cada reunión, una persona que controle las preguntas en el chat y la lista de oradores, y alguien que ayude a tomar notas (o tomen notas de manera colaborativa).
Send an email to tech support if you need a comfortable headset.	enviar an email to técnico soporte if vos necesito a cómodo headset.	Envíe un mensaje de correo electrónico a soporte técnico si necesita unos auriculares cómodos.
Use your wellness reimbursement for snacks.	Use your wellness reimbursement for snacks.	Use el reembolso de bienestar para refrigerios.
Join the #remoties channel in Slack to talk with your colleagues about distributed work	Join the #remoties channel in Slack to talk with your colleagues about distributed work	Únase al canal #remoties en Slack para hablar con sus compañeros sobre el trabajo distribuido
The HR Operations team is looking into webinar-based ergonomics guidance to support the increase in distributed work across the Foundation.	el HR operaciones equipo is buscando into webinar-based ergonomía orientación to apoyo el incremento in distribuido trabaje across las Foundation.	El equipo de Operaciones de RR. HH. está analizando las pautas sobre ergonomía basada en seminarios web para apoyar el aumento del trabajo distribuido en toda la Fundación.
This past week we asked all community grant recipients to cancel Wikimedia-funded public events, such as editathons, until the WHO declares the pandemic to be over.	este pasado week we preguntó all comunidad grant beneficiarios to anular Wikimedia-funded públicas events, tal as editathons, hasta los quién declara las pandemia to be over.	Esta última semana les pedimos a todos los beneficiarios de subvenciones comunitarias que cancelaran los eventos públicos financiados por Wikimedia, como las editatones, hasta que la OMS declare el fin de la pandemia.
